repository_name,owner_username,stars,repository_url
scikit-learn,scikit-learn,56000,https://github.com/scikit-learn/scikit-learn
superset,apache,54400,https://github.com/apache/superset
pandas,pandas-dev,39900,https://github.com/pandas-dev/pandas
metabase,metabase,34400,https://github.com/metabase/metabase
streamlit,streamlit,27600,https://github.com/streamlit/streamlit
AI-Expert-Roadmap,AMAI-GmbH,26900,https://github.com/AMAI-GmbH/AI-Expert-Roadmap
CyberChef,gchq,22700,https://github.com/gchq/CyberChef
Data-Science-For-Beginners,microsoft,22600,https://github.com/microsoft/Data-Science-For-Beginners
gradio,gradio-app,22300,https://github.com/gradio-app/gradio
goaccess,allinurl,16700,https://github.com/allinurl/goaccess
best-of-ml-python,ml-tooling,14500,https://github.com/ml-tooling/best-of-ml-python
dataease,dataease,13000,https://github.com/dataease/dataease
airbyte,airbytehq,11900,https://github.com/airbytehq/airbyte
ydata-profiling,ydataai,11200,https://github.com/ydataai/ydata-profiling
OpenRefine,OpenRefine,9700,https://github.com/OpenRefine/OpenRefine
pandas_exercises,guipsamora,9400,https://github.com/guipsamora/pandas_exercises
mlcourse.ai,Yorko,9100,https://github.com/Yorko/mlcourse.ai
statsmodels,statsmodels,8900,https://github.com/statsmodels/statsmodels
pandas-ai,gventuri,8600,https://github.com/gventuri/pandas-ai
pyod,yzhao062,7400,https://github.com/yzhao062/pyod
