repository_name,owner_username,stars,repository_url
freeCodeCamp,freeCodeCamp,375000,https://github.com/freeCodeCamp/freeCodeCamp
react,facebook,214000,https://github.com/facebook/react
vue,vuejs,205000,https://github.com/vuejs/vue
javascript-algorithms,trekhleb,176000,https://github.com/trekhleb/javascript-algorithms
You-Dont-Know-JS,getify,172000,https://github.com/getify/You-Dont-Know-JS
bootstrap,twbs,165000,https://github.com/twbs/bootstrap
javascript,airbnb,138000,https://github.com/airbnb/javascript
project-based-learning,practical-tutorials,117000,https://github.com/practical-tutorials/project-based-learning
30-seconds-of-code,30-seconds,116000,https://github.com/30-seconds/30-seconds-of-code
electron,electron,109000,https://github.com/electron/electron
free-programming-books-zh_CN,justjavac,105000,https://github.com/justjavac/free-programming-books-zh_CN
axios,axios,102000,https://github.com/axios/axios
node,nodejs,98400,https://github.com/nodejs/node
three.js,mrdoob,94800,https://github.com/mrdoob/three.js
TypeScript,microsoft,94400,https://github.com/microsoft/TypeScript
nodebestpractices,goldbergyoni,93100,https://github.com/goldbergyoni/nodebestpractices
deno,denoland,91000,https://github.com/denoland/deno
angular,angular,90500,https://github.com/angular/angular
material-ui,mui,89100,https://github.com/mui/material-ui
clean-code-javascript,ryanmcdermott,86000,https://github.com/ryanmcdermott/clean-code-javascript
