repository_name,owner_username,stars,repository_url
tensorflow,tensorflow,178000,https://github.com/tensorflow/tensorflow
transformers,huggingface,113000,https://github.com/huggingface/transformers
pytorch,pytorch,71300,https://github.com/pytorch/pytorch
netdata,netdata,65300,https://github.com/netdata/netdata
cs-video-courses,Developer-Y,60500,https://github.com/Developer-Y/cs-video-courses
keras,keras-team,59500,https://github.com/keras-team/keras
scikit-learn,scikit-learn,56000,https://github.com/scikit-learn/scikit-learn
ML-For-Beginners,microsoft,53700,https://github.com/microsoft/ML-For-Beginners
tesseract,tesseract-ocr,53700,https://github.com/tesseract-ocr/tesseract
face_recognition,ageitgey,49500,https://github.com/ageitgey/face_recognition
d2l-zh,d2l-ai,49100,https://github.com/d2l-ai/d2l-zh
awesome-scalability,binhnguyennus,48600,https://github.com/binhnguyennus/awesome-scalability
faceswap,deepfakes,47200,https://github.com/deepfakes/faceswap
julia,JuliaLang,43300,https://github.com/JuliaLang/julia
TensorFlow-Examples,aymericdamien,43000,https://github.com/aymericdamien/TensorFlow-Examples
DeepFaceLab,iperov,42700,https://github.com/iperov/DeepFaceLab
yolov5,ultralytics,42000,https://github.com/ultralytics/yolov5
100-Days-Of-ML-Code,Avik-Jain,41900,https://github.com/Avik-Jain/100-Days-Of-ML-Code
annotated_deep_learning_paper_implementations,labmlai,36600,https://github.com/labmlai/annotated_deep_learning_paper_implementations
Open-Assistant,LAION-AI,35300,https://github.com/LAION-AI/Open-Assistant
